date,school_holiday,summer
2023/3/13,FALSE,FALSE
2023/3/14,FALSE,FALSE
2023/3/14,FALSE,FALSE
2023/3/15,FALSE,FALSE
2023/3/15,FALSE,FALSE
2023/3/16,FALSE,FALSE
2023/3/16,FALSE,FALSE
2023/3/17,FALSE,FALSE
2023/3/17,FALSE,FALSE
2023/3/18,FALSE,FALSE
2023/3/18,FALSE,FALSE
2023/3/19,FALSE,FALSE
2023/3/19,FALSE,FALSE
2023/3/20,FALSE,FALSE
2023/3/20,FALSE,FALSE
2023/3/21,FALSE,FALSE
2023/3/21,FALSE,FALSE
2023/3/22,FALSE,FALSE
2023/3/22,FALSE,FALSE
2023/3/23,FALSE,FALSE
2023/3/23,FALSE,FALSE
2023/3/24,FALSE,FALSE
2023/3/24,FALSE,FALSE
2023/3/25,FALSE,FALSE
2023/3/25,FALSE,FALSE
2023/3/26,FALSE,FALSE
2023/3/26,FALSE,FALSE
2023/3/27,FALSE,FALSE
2023/3/27,FALSE,FALSE
2023/3/28,FALSE,FALSE
2023/3/28,FALSE,FALSE
2023/3/29,FALSE,FALSE
2023/3/29,FALSE,FALSE
2023/3/30,FALSE,FALSE
2023/3/30,FALSE,FALSE
2023/3/31,FALSE,FALSE
2023/3/31,FALSE,FALSE
2023/4/1,FALSE,FALSE
2023/4/1,FALSE,FALSE
2023/4/2,FALSE,FALSE
2023/4/2,FALSE,FALSE
2023/4/3,FALSE,FALSE
2023/4/3,FALSE,FALSE
2023/4/4,FALSE,FALSE
2023/4/4,FALSE,FALSE
2023/4/5,FALSE,FALSE
2023/4/5,FALSE,FALSE
2023/4/6,FALSE,FALSE
2023/4/6,FALSE,FALSE
2023/4/7,TRUE,FALSE
2023/4/7,TRUE,FALSE
2023/4/8,TRUE,FALSE
2023/4/8,TRUE,FALSE
2023/4/9,TRUE,FALSE
2023/4/9,TRUE,FALSE
2023/4/10,TRUE,FALSE
2023/4/10,TRUE,FALSE
2023/4/11,TRUE,FALSE
2023/4/11,TRUE,FALSE
2023/4/12,TRUE,FALSE
2023/4/12,TRUE,FALSE
2023/4/13,TRUE,FALSE
2023/4/13,TRUE,FALSE
2023/4/14,TRUE,FALSE
2023/4/14,TRUE,FALSE
2023/4/15,TRUE,FALSE
2023/4/15,TRUE,FALSE
2023/4/16,TRUE,FALSE
2023/4/16,TRUE,FALSE
2023/4/17,TRUE,FALSE
2023/4/17,TRUE,FALSE
2023/4/18,TRUE,FALSE
2023/4/18,TRUE,FALSE
2023/4/19,TRUE,FALSE
2023/4/19,TRUE,FALSE
2023/4/20,TRUE,FALSE
2023/4/20,TRUE,FALSE
2023/4/21,TRUE,FALSE
2023/4/21,TRUE,FALSE
2023/4/22,TRUE,FALSE
2023/4/22,TRUE,FALSE
2023/4/23,TRUE,FALSE
2023/4/23,TRUE,FALSE
2023/4/24,FALSE,FALSE
2023/4/24,FALSE,FALSE
2023/4/25,FALSE,FALSE
2023/4/25,FALSE,FALSE
2023/4/26,FALSE,FALSE
2023/4/26,FALSE,FALSE
2023/4/27,FALSE,FALSE
2023/4/27,FALSE,FALSE
2023/4/28,FALSE,FALSE
2023/4/28,FALSE,FALSE
2023/4/29,FALSE,FALSE
2023/4/29,FALSE,FALSE
2023/4/30,FALSE,FALSE
2023/4/30,FALSE,FALSE
2023/5/1,FALSE,FALSE
2023/5/1,FALSE,FALSE
2023/5/2,FALSE,FALSE
2023/5/2,FALSE,FALSE
2023/5/3,FALSE,FALSE
2023/5/3,FALSE,FALSE
2023/5/4,FALSE,FALSE
2023/5/4,FALSE,FALSE
2023/5/5,FALSE,FALSE
2023/5/5,FALSE,FALSE
2023/5/6,FALSE,FALSE
2023/5/6,FALSE,FALSE
2023/5/7,FALSE,FALSE
2023/5/7,FALSE,FALSE
2023/5/8,FALSE,FALSE
2023/5/8,FALSE,FALSE
2023/5/9,FALSE,FALSE
2023/5/9,FALSE,FALSE
2023/5/10,FALSE,FALSE
2023/5/10,FALSE,FALSE
2023/5/11,FALSE,FALSE
2023/5/11,FALSE,FALSE
2023/5/12,FALSE,FALSE
2023/5/12,FALSE,FALSE
2023/5/13,FALSE,FALSE
2023/5/13,FALSE,FALSE
2023/5/14,FALSE,FALSE
2023/5/14,FALSE,FALSE
2023/5/15,FALSE,FALSE
2023/5/15,FALSE,FALSE
2023/5/16,FALSE,FALSE
2023/5/16,FALSE,FALSE
2023/5/17,FALSE,FALSE
2023/5/17,FALSE,FALSE
2023/5/18,FALSE,FALSE
2023/5/18,FALSE,FALSE
2023/5/19,FALSE,FALSE
2023/5/19,FALSE,FALSE
2023/5/20,FALSE,FALSE
2023/5/20,FALSE,FALSE
2023/5/21,FALSE,FALSE
2023/5/21,FALSE,FALSE
2023/5/22,FALSE,FALSE
2023/5/22,FALSE,FALSE
2023/5/23,FALSE,FALSE
2023/5/23,FALSE,FALSE
2023/5/24,FALSE,FALSE
2023/5/24,FALSE,FALSE
2023/5/25,FALSE,FALSE
2023/5/25,FALSE,FALSE
2023/5/26,FALSE,FALSE
2023/5/26,FALSE,FALSE
2023/5/27,FALSE,FALSE
2023/5/27,FALSE,FALSE
2023/5/28,FALSE,FALSE
2023/5/28,FALSE,FALSE
2023/5/29,FALSE,FALSE
2023/5/29,FALSE,FALSE
2023/5/30,FALSE,FALSE
2023/5/30,FALSE,FALSE
2023/5/31,FALSE,FALSE
2023/5/31,FALSE,FALSE
2023/6/1,FALSE,FALSE
2023/6/1,FALSE,FALSE
2023/6/2,FALSE,FALSE
2023/6/2,FALSE,FALSE
2023/6/3,FALSE,FALSE
2023/6/3,FALSE,FALSE
2023/6/4,FALSE,FALSE
2023/6/4,FALSE,FALSE
2023/6/5,FALSE,FALSE
2023/6/5,FALSE,FALSE
2023/6/6,FALSE,FALSE
2023/6/6,FALSE,FALSE
2023/6/7,FALSE,FALSE
2023/6/7,FALSE,FALSE
2023/6/8,FALSE,FALSE
2023/6/8,FALSE,FALSE
2023/6/9,FALSE,FALSE
2023/6/9,FALSE,FALSE
2023/6/10,FALSE,FALSE
2023/6/10,FALSE,FALSE
2023/6/11,FALSE,FALSE
2023/6/11,FALSE,FALSE
2023/6/12,FALSE,FALSE
2023/6/12,FALSE,FALSE
2023/6/13,FALSE,FALSE
2023/6/13,FALSE,FALSE
2023/6/14,FALSE,FALSE
2023/6/14,FALSE,FALSE
2023/6/15,FALSE,FALSE
2023/6/15,FALSE,FALSE
2023/6/16,FALSE,FALSE
2023/6/16,FALSE,FALSE
2023/6/17,FALSE,FALSE
2023/6/17,FALSE,FALSE
2023/6/18,FALSE,FALSE
2023/6/18,FALSE,FALSE
2023/6/19,FALSE,FALSE
2023/6/19,FALSE,FALSE
2023/6/20,FALSE,FALSE
2023/6/20,FALSE,FALSE
2023/6/21,FALSE,FALSE
2023/6/21,FALSE,FALSE
2023/6/22,FALSE,FALSE
2023/6/22,FALSE,FALSE
2023/6/23,FALSE,FALSE
2023/6/23,FALSE,FALSE
2023/6/24,TRUE,FALSE
2023/6/24,TRUE,FALSE
2023/6/25,TRUE,FALSE
2023/6/25,TRUE,FALSE
2023/6/26,TRUE,FALSE
2023/6/26,TRUE,FALSE
2023/6/27,TRUE,FALSE
2023/6/27,TRUE,FALSE
2023/6/28,TRUE,FALSE
2023/6/28,TRUE,FALSE
2023/6/29,TRUE,FALSE
2023/6/29,TRUE,FALSE
2023/6/30,TRUE,FALSE
2023/6/30,TRUE,FALSE
2023/7/1,TRUE,FALSE
2023/7/1,TRUE,FALSE
2023/7/2,TRUE,FALSE
2023/7/2,TRUE,FALSE
2023/7/3,TRUE,FALSE
2023/7/3,TRUE,FALSE
2023/7/4,TRUE,FALSE
2023/7/4,TRUE,FALSE
2023/7/5,TRUE,FALSE
2023/7/5,TRUE,FALSE
2023/7/6,TRUE,FALSE
2023/7/6,TRUE,FALSE
2023/7/7,TRUE,FALSE
2023/7/7,TRUE,FALSE
2023/7/8,TRUE,FALSE
2023/7/8,TRUE,FALSE
2023/7/9,TRUE,FALSE
2023/7/9,TRUE,FALSE
2023/7/10,FALSE,FALSE
2023/7/10,FALSE,FALSE
2023/7/11,FALSE,FALSE
2023/7/11,FALSE,FALSE
2023/7/12,FALSE,FALSE
2023/7/12,FALSE,FALSE
2023/7/13,FALSE,FALSE
2023/7/13,FALSE,FALSE
2023/7/14,FALSE,FALSE
2023/7/14,FALSE,FALSE
2023/7/15,FALSE,FALSE
2023/7/15,FALSE,FALSE
2023/7/16,FALSE,FALSE
2023/7/16,FALSE,FALSE
2023/7/17,FALSE,FALSE
2023/7/17,FALSE,FALSE
2023/7/18,FALSE,FALSE
2023/7/18,FALSE,FALSE
2023/7/19,FALSE,FALSE
2023/7/19,FALSE,FALSE
2023/7/20,FALSE,FALSE
2023/7/20,FALSE,FALSE
2023/7/21,FALSE,FALSE
2023/7/21,FALSE,FALSE
2023/7/22,FALSE,FALSE
2023/7/22,FALSE,FALSE
2023/7/23,FALSE,FALSE
2023/7/23,FALSE,FALSE
2023/7/24,FALSE,FALSE
2023/7/24,FALSE,FALSE
2023/7/25,FALSE,FALSE
2023/7/25,FALSE,FALSE
2023/7/26,FALSE,FALSE
2023/7/26,FALSE,FALSE
2023/7/27,FALSE,FALSE
2023/7/27,FALSE,FALSE
2023/7/28,FALSE,FALSE
2023/7/28,FALSE,FALSE
2023/7/29,FALSE,FALSE
2023/7/29,FALSE,FALSE
2023/7/30,FALSE,FALSE
2023/7/30,FALSE,FALSE
2023/7/31,FALSE,FALSE
2023/7/31,FALSE,FALSE
2023/8/1,FALSE,FALSE
2023/8/1,FALSE,FALSE
2023/8/2,FALSE,FALSE
2023/8/2,FALSE,FALSE
2023/8/3,FALSE,FALSE
2023/8/3,FALSE,FALSE
2023/8/4,FALSE,FALSE
