ds,y
2023-08-12,601.4746987951811
2023-08-13,572.878012048193
2023-08-14,569.1326807228922
2023-08-15,568.4310240963856
2023-08-16,568.3801204819277
2023-08-17,568.3835843373492
2023-08-18,599.6165662650603
2023-08-19,600.8697289156628
2023-08-20,572.3067771084336
2023-08-21,568.6337349397597
2023-08-22,568.5906626506018
2023-08-23,568.9507530120491
2023-08-24,569.6554216867471
2023-08-25,599.9679216867472
2023-08-26,602.1932228915663
2023-08-27,572.422891566265
2023-08-28,569.1335843373492
2023-08-29,569.5718373493975
2023-08-30,570.2876506024089
2023-08-31,571.2361445783134
2023-09-01,603.4301204819278
2023-09-02,604.6162650602403
2023-09-03,577.6381024096386
2023-09-04,574.2528614457827
2023-09-05,573.9218373493978
2023-09-06,573.7641566265061
2023-09-07,574.5096385542167
2023-09-08,604.5513554216869
2023-09-09,606.1989457831328
2023-09-10,579.510692771084
2023-09-11,576.0667168674697
2023-09-12,575.9775602409634
2023-09-13,576.0032245827007
2023-09-14,577.7996131528042
2023-09-15,614.8413926499036
2023-09-16,619.9471953578342
2023-09-17,591.9352030947775
2023-09-18,588.8328820116056
2023-09-19,589.2106382978726
2023-09-20,590.2495164410053
2023-09-21,592.034816247582
2023-09-22,621.6034816247584
2023-09-23,623.4274661508705
2023-09-24,595.7421663442937
2023-09-25,591.1719535783365
2023-09-26,590.8988394584131
2023-09-27,591.2630560928428
2023-09-28,610.7299806576397
2023-09-29,639.2212765957447
2023-09-30,641.024371373308
